DAuid,WPname,distance
59151886,Cedar Hills Shopping Center,6493
59151886,Holland Park,6250
59151886,Central City Shopping mall,4828
59151886,Kwantlen Park,6290
59151886,King George Skytrain,4971
59151886,Surrey Central,5242
59151886,APH Matthew Park,5756
59151887,Bear Creek Park,6489
59151887,Walmart Supercenter (88ave),9126
59151887,Big plaza at 88 and scott road,9909
59151887,LA Matheson Secondary School/Moffat Park,8087
59151887,Tannery Park,9727
59151887,Brownville Pub,17553
59151887,Aria Banquet Convention Center,9556
59151887,Bridgeview Park,9327
59151887,Bolivar Park,8495
59151887,Scott Road Skytrain,9610
59151887,Surrey memorial parking,5098
59151887,David Brankin Elementary School/William Beagle Park,7485
59151887,Cedar Hills Shopping Center,6673
59151887,Holland Park,6756
59151887,Central City Shopping mall,5334
59151887,Kwantlen Park,6796
59151887,King George Skytrain,5151
59151887,Surrey Central,5748
59151887,APH Matthew Park,5936
59151888,Bear Creek Park,7599
59151888,Walmart Supercenter (88ave),10236
59151888,Big plaza at 88 and scott road,11019
59151888,LA Matheson Secondary School/Moffat Park,9197
59151888,Tannery Park,11372
59151888,Brownville Pub,18766
59151888,Aria Banquet Convention Center,11465
59151888,Bridgeview Park,11237
59151888,Bolivar Park,9845
59151888,Scott Road Skytrain,11519
59151888,Surrey memorial parking,6207
59151888,David Brankin Elementary School/William Beagle Park,8595
59151888,Cedar Hills Shopping Center,7783
59151888,Holland Park,8528
59151888,Central City Shopping mall,6979
59151888,Kwantlen Park,8441
59151888,King George Skytrain,6261
59151888,Surrey Central,7393
59151888,APH Matthew Park,7046
59151889,Bear Creek Park,9018
59151889,Walmart Supercenter (88ave),11654
59151889,Big plaza at 88 and scott road,12438
59151889,LA Matheson Secondary School/Moffat Park,10615
59151889,Tannery Park,16424
59151889,Brownville Pub,15255
59151889,Aria Banquet Convention Center,9784
59151889,Bridgeview Park,13912
59151889,Bolivar Park,13461
59151889,Scott Road Skytrain,9838
59151889,Surrey memorial parking,7626
59151889,David Brankin Elementary School/William Beagle Park,10013
59151889,Cedar Hills Shopping Center,9201
59151889,Holland Park,7504
59151889,Central City Shopping mall,7051
59151889,Kwantlen Park,7538
59151889,King George Skytrain,7680
59151889,Surrey Central,6456
59151889,APH Matthew Park,8465
59151890,Bear Creek Park,9453
59151890,Walmart Supercenter (88ave),12090
59151890,Big plaza at 88 and scott road,12873
59151890,LA Matheson Secondary School/Moffat Park,11051
59151890,Tannery Park,16551
59151890,Brownville Pub,15382
59151890,Aria Banquet Convention Center,14656
59151890,Bridgeview Park,14040
59151890,Bolivar Park,13588
59151890,Scott Road Skytrain,14723
59151890,Surrey memorial parking,8061
59151890,David Brankin Elementary School/William Beagle Park,10448
59151890,Cedar Hills Shopping Center,9637
59151890,Holland Park,8908
59151890,Central City Shopping mall,7486
59151890,Kwantlen Park,7943
59151890,King George Skytrain,8115
59151890,Surrey Central,6862
59151890,APH Matthew Park,8900
59151891,Bear Creek Park,9205
59151891,Walmart Supercenter (88ave),11842
59151891,Big plaza at 88 and scott road,12625
59151891,LA Matheson Secondary School/Moffat Park,10803
59151891,Tannery Park,16988
59151891,Brownville Pub,15819
59151891,Aria Banquet Convention Center,15092
59151891,Bridgeview Park,14476
59151891,Bolivar Park,14024
59151891,Scott Road Skytrain,15159
59151891,Surrey memorial parking,7814
59151891,David Brankin Elementary School/William Beagle Park,10201
59151891,Cedar Hills Shopping Center,9389
59151891,Holland Park,8660
59151891,Central City Shopping mall,7238
59151891,Kwantlen Park,7695
59151891,King George Skytrain,7867
59151891,Surrey Central,6614
59151891,APH Matthew Park,8652
59151892,Bear Creek Park,9571
59151892,Walmart Supercenter (88ave),12208
59151892,Big plaza at 88 and scott road,12991
59151892,LA Matheson Secondary School/Moffat Park,11169
59151892,Tannery Park,17299
59151892,Brownville Pub,16130
